Event Name,Format,Organizer,Start Date,City,Country,Description,URL
Automotive Grade Linux All Members Meeting,In Person,events.linuxfoundation.org,2025-07-09,Berlin,Germany,"By submitting this form, I consent to receive marketing emails from the LF and its projects regarding their events, training, research, developments, and related announcements. I understand that I can unsubscribe at any time using the links in the footers of the emails I receive. Privacy Policy.",https://events.linuxfoundation.org/agl-amm-summer/
2025 USENIX Annual Technical Conference,In Person,USENIX,2025-07-07,Boston,United States,"The 2025 USENIX Annual Technical Conference will take place on July 7–9, 2025, at the Sheraton Boston in Boston, MA, USA. USENIX ATC brings together leading systems researchers for the presentation of cutting-edge systems research and the opportunity to gain insight into a wealth of must-know topics, including virtualization, system and network management and troubleshooting, cloud and edge computing, security, privacy, and trust, mobile and wireless, and more.",https://www.usenix.org/conference/atc25
USENIX Symposium on Operating Systems Design and Implementation,In Person,USENIX,2025-07-07,Boston,United States,"The 19th USENIX Symposium on Operating Systems Design and Implementation (OSDI \'25) will take place on July 7–9, 2025, at the Sheraton Boston in Boston, MA, USA. OSDI brings together professionals from academic and industrial backgrounds in what has become a premier forum for discussing the design, implementation, and implications of systems software. The symposium emphasizes innovative research as well as quantified or insightful experiences in systems design and implementation.",https://www.usenix.org/conference/osdi25
IFIP International Symposium on Human Aspects of Information Security & Assurance (HAISA 2025),In Person,IFIP Technical Committee 11 Working Group 12 on Human Aspects of Information Security and Assurance,2025-07-07,Mytilene,Greece,"The IFIP International Symposium on Human Aspects of Information Security & Assurance (HAISA 2025) will bring together leading figures from academia and industry to present and discuss the latest advances in information security from research and commercial perspectives. The event, hosted by the University of the Aegean, will feature presentations from researchers and industry practitioners.",https://haisa.org/
7th Party in the Park,In Person,Pulse conferences,2025-07-03,London,United Kingdom,"The 8th Party in the Park, hosted by Pulse conferences, is an annual gathering for CISOs, cybersecurity practitioners, and the information security community at The Orangery in London’s Holland Park. The event features drinks, gourmet canapés, and live music.",https://www.pulseconferences.com/conference/7th-party-in-the-park/
ERTL-YANG Leader Summit 2025: Kuala Lumpur,In Person,ERTL-YANG,2025-07-03,Kuala Lumpur,Malaysia,"ERTL-YANG Leader Summits are designed for business executives across industries to discuss and share insights on key business issues and to grow and deepen their professional networks. The summit offers opportunities to connect with high-profile C-Suite Executives, share insights on enterprise technology priorities, and network with peers to develop valuable lead generation and lasting business partnerships. Attendees can participate in thought leadership sessions, professional networking, and private breakout roundtables.",https://www.ertl-yang.com/summits-2025/ertl-yang-leader-summit-kuala-lumpur/overview
AKJ Associates: Securing the Perimeter,In Person,AKJ Associates,2025-07-03,London,United Kingdom,"AKJ Associates provides exclusive networking events for senior security stakeholders and service suppliers around the globe, catering to specific security topics.",https://akjassociates.com/
CIO NetworX Paris,In Person,CIO NetworX,2025-07-03,Paris,France,"CIO NetworX Paris is an exclusive networking event for CIOs and IT leaders, offering an evening of strategic networking, thought leadership, and premium hospitality. Attendees will engage in curated networking sessions, enjoy gourmet canapés, and participate in a private insight dinner. The event is designed to spark high-value conversations and connect IT decision-makers with innovative solution providers.",https://cxo-institute.com/our-events/cio-networx-paris-jul-2025/
Precision in Pharma Supply Chain & Logistics Summit (Zurich- Europe),In Person,Precision Evolution Global Conferences,2025-07-02,Zurich,United States,"The 5th Precision in Pharma Supply Chain & Logistics Summit (Zurich- Europe) is a two-day event bringing together experts to discuss key highlights in the world of Pharma-Supply Chain & Logistics. Attendees will explore supply chain visibility, agility, GDP guidelines, warehousing, and advancements through loT & blockchain. The summit is designed to help attendees find solutions to their most pressing supply chain and procurement challenges in 2025 and beyond.",https://events.precision-globe.com/single-event/precision-in-pharma-supply-chain-logistics-summit-Zurich
CYDES Cyber Defence and Security Exhibition and Conference,In Person,Hosted & Organised by:,2025-07-01,Putrajaya,Malaysia,"CYDES 2025, the 3rd edition of the world integrated cyber defense, cyber security, and emerging technology event, is set to take place in the year 2025 in the vibrant city of Putrajaya International Convention Centre, Malaysia. As a national event, CYDES serves as a powerful platform for showcasing expertise, solutions, and cutting-edge technologies aimed at combating present and future cyber threats.",https://cydes.my/
Certified Cloud Security Professional (CCSP),Hybrid,IMF Academy,2025-06-30,Amsterdam,Netherlands,This 5-day training will prepare you for the international Cloud Security certificate of (ISC)2: Certified Cloud Security Professional (CCSP). The global CCSP credential will help you achieve the highest standard for Cloud Security expertise. This Cloud Security training and certification - developed by the leading information security organization (ISC)2 in cooperation with the Cloud Security Alliance (CSA) - will prove your Cloud Security expertise at a global level.,https://www.imfacademy.com/security-management/certified-cloud-security-professional-ccsp.php
LeHack: The Singularity 2025,In Person,leHACK,2025-06-27,Paris,France,"leHACK is rebooting! This year's event, themed ""The Singularity,"" will take place at the Cité des Sciences et de l’Industrie, Paris, on June 27th and 28th, with an all-night session until June 29th. The event explores the potential existential threat of self-aware artificial intelligence and the implications of AI advancements on various professions and society.",https://lehack.org/
Recon Conference 2025,In Person,REcon,2025-06-27,Montreal,Canada,"REcon is a computer security conference with a focus on reverse engineering and advanced exploitation techniques. It is held annually in Montreal, Canada since 2005. This year marks the 20th anniversary of Recon. The conference offers a single track of presentations over three days along with four days of technical training sessions held before the presentation dates.",https://recon.cx
